Name,Type,Year,Position 1,Company/University 1,Position 2 or Past Position,Company/University 2,Industry or Academia?,"Company website, profile page, LinkedIn",,,,,,,,,,,,,,,,,,,,,
Matei Zaharia,PhD Granted,2014,CTO,Databricks,"Associate Professor, Computer Science",UC Berkeley,academia/industry,https://people.eecs.berkeley.edu/~matei/,,,,,,,,,,,,,,,,,,,,,
David Zats,PhD Granted,2014,CEO,Stealth Mode AI Startup,,,industry,https://www.linkedin.com/in/david-zats-b56bb386,,,,,,,,,,,,,,,,,,,,,
Yuchen Zhang,PhD Granted,2016,Research Scientist,Microsoft Semantic Machines,,,industry,https://zhangyuc.github.io/,,,,,,,,,,,,,,,,,,,,,
Rachit Agarwal,Postdoctoral Scholar,,"Associate Professor, Computer Science",Cornell,,,academia,https://www.cs.cornell.edu/~ragarwal/,,,,,,,,,,,,,,,,,,,,,
Gylfi Gudmundsson,Postdoctoral Scholar,,"Assistant Professor, Computer Science",Reykjavik University,,,academia,https://cress.ru.is/wordpress/?page_id=14,,,,,,,,,,,,,,,,,,,,,
Stefanie Jegelka,Postdoctoral Scholar,,"Associate Professor, EECS",MIT,,,academia,https://people.csail.mit.edu/stefje/,,,,,,,,,,,,,,,,,,,,,
Christos Kozanitis,Postdoctoral Scholar,,"Research Scientist,",ICS-FORTH,,,academia,https://www.linkedin.com/in/christos-kozanitis-a3b173a8,,,,,,,,,,,,,,,,,,,,,
Tim Kraska,Postdoctoral Scholar,,"Associate Professor, EECS",MIT,,,academia,https://people.csail.mit.edu/kraska/,,,,,,,,,,,,,,,,,,,,,
Jason Lee,Postdoctoral Scholar,,"Associate Professor, EECS and Statistics",UC Berkeley,,,academia,https://jasondlee88.github.io/,,,,,,,,,,,,,,,,,,,,,
Justin Ma,Postdoctoral Scholar,,Staff Software Engineer,Google,Computer Systems Security,UC Berkeley AMPLab,industry,https://www.linkedin.com/in/justin-ma-security
Adam Oliner,Postdoctoral Scholar,,CEO and Co-founder ,Graft,,,industry,https://www.graft.com/author/adam-oliner,,,,,,,,,,,,,,,,,,,,,
Samet Oymak,Postdoctoral Scholar,,"Associate Professor, EECS",University of Michigan,,,academia,https://sota.engin.umich.edu/bio-samet-oymak/,,,,,,,,,,,,,,,,,,,,,
John Paisley,Postdoctoral Scholar,,"Associate Professor, EECS",Columbia,,,academia,https://www.ee.columbia.edu/content/john-w-paisley,,,,,,,,,,,,,,,,,,,,,
Dimitris Papiliopoulos,Postdoctoral Scholar,,"Jay & Cynthia Ihlenfeld Associate Professor, EECS",University of Wisconsin-Madison,,,academia,https://papail.io/,,,,,,,,,,,,,,,,,,,,,
Florian Pokorny,Postdoctoral Scholar,,"Associate Professor of Machine Learning within the division of Robotics, Perception and Learning",KTH Royal Institute of Technology,,,academia,https://www.csc.kth.se/~fpokorny/,,,,,,,,,,,,,,,,,,,,,
Purnamrita Sarkar,Postdoctoral Scholar,,"Associate Professor, Statistics and Data Sciences",University of Texas at Austin,,,academia,https://stat.utexas.edu/directory/purnamrita-purna-sarkar,,,,,,,,,,,,,,,,,,,,,
Elaine Shi,Postdoctoral Scholar,,"Professor, CSD and ECE",Carnegie Mellon University.,,,academia,https://elaineshi.com/,,,,,,,,,,,,,,,,,,,,,
Mahdi Soltanolkotabi,Postdoctoral Scholar,,"Andrew and Erna Viterbi Early Career Chair and Professor of Electrical and Computer Engineering, Computer Science, and Industrial and Systems Engineering",University of Southern California,,,academia,https://viterbi.usc.edu/directory/faculty/Soltanolkotabi/Mahdi,,,,,,,,,,,,,,,,,,,,,
Ameet Talwalkar,Postdoctoral Scholar,,"Associate Professor, CS", Carnegie Mellon University,,,academia,https://www.cs.cmu.edu/~atalwalk/,,,,,,,,,,,,,,,,,,,,,
Jiannan Wang,Postdoctoral Scholar,,"Associate Professor, CS",Simon Fraser University,,,academia,https://www.cs.sfu.ca/~jnwang/,,,,,,,,,,,,,,,,,,,,,
Eugene Wu,Postdoctoral Scholar,,"Associate Professor, CS",Columbia University,,,academia,https://www.cs.columbia.edu/~ewu/,,,,,,,,,,,,,,,,,,,,,
Yun Yang,Postdoctoral Scholar,,Adjunct Associate Professor,University of Illinois at Urbana Champaign,,,academia,https://stat.illinois.edu/directory/profile/yy84,,,,,,,,,,,,,,,,,,,,,
Kai Zeng,Postdoctoral Scholar,,Cloud Chief Architect of Data & AI Convergence,Huawei,,,industry,https://kai-zeng.github.io/,,,,,,,,,,,,,,,,,,,,,
Zhao Zhang,Postdoctoral Scholar,,"Assistant Professor, ECE",Rutgers University,,,academia,https://zhaozhang.github.io/,,,,,,,,,,,,,,,,,,,,,
Yuan Zhong,Postdoctoral Scholar,,"Professor, Industrial Engineering and Operations Research",Columbia University,,,academia,https://flexicon.ee.columbia.edu/directory/prof-yuan-zhong,,,,,,,,,,,,,,,,,,,,,
Elaine Angelino,Postdoctoral Scholar,,Assistant Professor,UC Berkeley,Miller Fellow,Harvard SEAS,academia,https://eaangelino.github.io/
Kimon Fountoulakis,Postdoctoral Scholar,,"Associate Professor, Computer Science",University of Waterloo,,,academia,https://uwaterloo.ca/data-science/contacts/kimon-fountoulakis,,,,,,,,,,,,,,,,,,,,,
Roy Fox,Postdoctoral Scholar,,"Assistant Professor, Computer Science",UC Irvine,,,academia,https://royf.org/,,,,,,,,,,,,,,,,,,,,,
Alex Gittens,Postdoctoral Scholar,,"Assistant Professor, Computer Science",Rensselaer,,,academia,https://faculty.rpi.edu/alex-gittens,,,,,,,,,,,,,,,,,,,,,
Qingqing Huang,Postdoctoral Scholar,,,Tik Tok,,,industry,https://www.linkedin.com/in/qingqing-huang-18a329138,,,,,,,,,,,,,,,,,,,,,
